Japan,India,China,Australia,date
101.7,43.55,8.2798,1.5172,2000-01-03
103.09,43.55,8.2799,1.5239,2000-01-04
103.77,43.55,8.2798,1.5267,2000-01-05
105.19,43.55,8.2797,1.5291,2000-01-06
105.17,43.55,8.2794,1.5272,2000-01-07
105.28,43.55,8.2794,1.5242,2000-01-10
106.09,43.6,8.2795,1.5209,2000-01-11
105.76,43.6,8.2796,1.5202,2000-01-12
106.09,43.55,8.2798,1.4954,2000-01-13
105.86,43.55,8.2797,1.5004,2000-01-14
105.49,43.6,8.2793,1.506,2000-01-18
105.39,43.6,8.2797,1.5074,2000-01-19
105.45,43.6,8.2794,1.5002,2000-01-20
104.96,43.6,8.2795,1.5103,2000-01-21
105.52,43.62,8.2789,1.5281,2000-01-24
105.87,43.59,8.2786,1.5286,2000-01-25
105.85,43.65,8.2782,1.5373,2000-01-26
104.91,43.63,8.2783,1.5267,2000-01-27
107.15,43.65,8.2781,1.5962,2000-01-28
107.33,43.65,8.2777,1.5669,2000-01-31
107.67,43.62,8.2774,1.5835,2000-02-01
108.4,43.65,8.2773,1.5723,2000-02-02
107.92,43.65,8.2781,1.5657,2000-02-03
107.54,43.65,8.2788,1.5835,2000-02-04
108.75,43.64,8.2788,1.5775,2000-02-07
109.59,43.63,8.2788,1.5741,2000-02-08
109.11,43.65,8.2788,1.576,2000-02-09
108.74,43.58,8.2788,1.5823,2000-02-10
108.99,43.65,8.2788,1.5918,2000-02-11
108.65,43.65,8.2779,1.5926,2000-02-14
108.75,43.64,8.2777,1.5873,2000-02-15
109.38,43.75,8.2777,1.587,2000-02-16
110.27,43.68,8.2772,1.5823,2000-02-17
110.88,43.68,8.2772,1.5893,2000-02-18
111.04,43.65,8.2773,1.5982,2000-02-22
111.11,43.68,8.278,1.6139,2000-02-23
110.95,43.65,8.278,1.6276,2000-02-24
110.98,43.65,8.2786,1.6194,2000-02-25
109.17,43.68,8.2786,1.6351,2000-02-28
109.88,43.65,8.2786,1.6247,2000-02-29
107.1,43.63,8.2786,1.6483,2000-03-01
107.37,43.65,8.2787,1.6455,2000-03-02
107.8,43.65,8.2789,1.6442,2000-03-03
107.74,43.63,8.2785,1.6622,2000-03-06
106.2,43.63,8.2784,1.657,2000-03-07
106.89,43.65,8.2786,1.641,2000-03-08
106.45,43.63,8.2787,1.6247,2000-03-09
106.27,43.65,8.2785,1.6297,2000-03-10
105.32,43.65,8.2781,1.6221,2000-03-13
104.85,43.64,8.278,1.6287,2000-03-14
105.58,43.65,8.2778,1.6327,2000-03-15
105.63,43.58,8.2777,1.6375,2000-03-16
106.1,43.65,8.2785,1.6483,2000-03-17
106.5,43.63,8.2786,1.6488,2000-03-20
106.91,43.59,8.2783,1.6393,2000-03-21
106.77,43.65,8.2783,1.6513,2000-03-22
107.45,43.65,8.2787,1.6554,2000-03-23
107.25,43.65,8.2789,1.6491,2000-03-24
107.13,43.62,8.2792,1.6356,2000-03-27
105.9,43.65,8.2795,1.6284,2000-03-28
105.6,43.65,8.2789,1.6329,2000-03-29
105.53,43.65,8.2788,1.6327,2000-03-30
102.73,43.65,8.2787,1.6496,2000-03-31
104.82,43.632,8.2786,1.6466,2000-04-03
105.33,43.65,8.2791,1.6578,2000-04-04
105,43.68,8.2795,1.6521,2000-04-05
